sup_pop,pop,ACB,ASW,ESN,GWD,LWK,MSL,YRI,CLM,MXL,PEL,PUR,CDX,CHB,CHS,JPT,KHV,CEU,FIN,GBR,IBS,TSI,BEB,GIH,ITU,PJL,STU
AFR,ACB,5.8594730984900035e-6,4.319537844670204,3.2486746834700435,3.7059236502587063,3.7907660502835547,4.142362725480618,3.8230272197267703,15.05007949427318,14.618142051572349,15.356611554324584,14.282921768632002,18.433564533614295,18.571282662481536,18.431315375729795,19.739682976985943,17.876482077351163,18.43226765935157,19.67184884342193,18.21317108781255,16.467847566655482,16.541063317870105,13.37455394934737,13.771365801092719,13.447867514632053,13.840908443010726,13.605248766469616
AFR,ASW,4.319537844670204,0.0,5.605990060367727,5.986606068121721,5.945784050773046,6.082131590247122,5.682424274004805,12.758226346200669,12.989365696570172,13.91059654872537,11.817445154798632,18.360449667727686,18.386090228194472,18.217714340244477,19.809551042094583,17.699937603470453,15.791947098575239,17.200371615126574,15.644758265128932,13.926074600039943,13.883884823590568,11.395815866074406,11.767316402812755,11.552620832966271,11.581943689593649,11.91670808323353
AFR,ESN,3.2486746834700435,5.605990060367727,0.0,4.481466286043677,3.8579776346445436,4.256598657241266,3.5131757883341446,16.715821414294936,16.31621825206158,16.94054471638232,16.015919197158137,19.534464745877298,19.701566944594664,19.580338985136965,20.696232312526835,18.96103006582227,19.987849589465362,21.071159819651115,19.730785340748426,18.12985593066095,18.218717358490387,14.677187258309432,15.177879352565322,14.626126129158495,15.380010189530868,14.665674544687562
AFR,GWD,3.7059236502587063,5.986606068121721,4.481466286043677,2.7392209274950164e-6,5.041632119738606,4.013728449546041,4.660602791388469,16.112825013303716,15.733204947648384,16.404272865768384,15.446745740627433,19.336272310069624,19.48058889074006,19.33911384940919,20.456909805695187,18.781138471027464,19.391718583664897,20.442802348629453,19.02060403096251,17.581373276854354,17.72008267190704,14.430506463524699,14.915594989619441,14.495067224401618,14.798273672002313,14.546724223594023
AFR,LWK,3.7907660502835547,5.945784050773046,3.8579776346445436,5.041632119738606,0.0,4.545760951848009,4.5702585799730935,16.625625522937607,15.98768670083321,16.656734235146008,15.998473590215749,18.891672561546798,19.127982256880603,18.995538222412,20.255369391237473,18.406429675596925,20.18451261575914,21.358114719730352,19.960941506938752,18.122955672454086,18.185120340303357,14.680893141987857,14.968610544818672,14.537910196163114,15.213237451259243,14.698901408170872
AFR,MSL,4.142362725480618,6.082131590247122,4.256598657241266,4.013728449546041,4.545760951848009,0.0,3.7937422446555145,17.156927582353937,16.678843221148632,17.287333603368825,16.488884909195857,19.957333813722794,20.029645300701652,19.950007751391258,21.12922554720507,19.42688454492156,20.609193156248015,21.843298070994276,20.327454257812665,18.6218881678406,18.732928785546736,14.813630455500801,15.276687528817371,14.639904938522877,15.47912034324264,14.70294872699823
AFR,YRI,3.8230272197267703,5.682424274004825,3.513175788334177,4.660602791388469,4.5702585799730935,3.7937422446555145,0.0,17.074476661332874,16.616547131239162,17.14292589178471,16.326597013816524,20.090920517571007,20.03096704451431,20.009696709422084,21.159582126994486,19.504287821447292,20.51415532242935,21.78450856452141,20.214710717492185,18.534534834375723,18.607146778262862,14.388092270064188,14.860282157269799,14.117148259531374,15.130901112904908,14.170486431150653
AMR,CLM,15.05007949427318,12.758226346200669,16.715821414294936,16.112825013303716,16.625625522937607,17.156927582353937,17.07447666133287,0.0,5.363659626016097,6.810023471308048,3.406493712085197,16.312945303812814,16.58031328780204,16.072053942832977,18.0978483665911,15.90746506108081,6.534117614208898,8.887040823052017,6.397526193131689,4.109122499374208,4.654175407844162,9.136618960010805,9.391417838681395,10.870703972255923,6.170447711260502,11.38828438853633
AMR,MXL,14.618142051572349,12.989365696570172,16.31621825206158,15.733204947648384,15.98768670083321,16.678843221148632,16.616547131239162,5.363659626016097,0.0,3.704847631244496,6.40885976121202,12.528962216394635,12.605690535613931,12.19010098833624,14.155071039687359,12.283080406176929,10.359823097402186,12.51812869202687,10.265266386086688,7.523050863542525,8.276485729785698,8.74691250522519,8.676613057873572,10.385610147380765,6.781936009208283,10.768176302617372
AMR,PEL,15.356611554324584,13.91059654872537,16.94054471638232,16.404272865768384,16.656734235146008,17.287333603368825,17.14292589178471,6.810023471308048,3.704847631244496,0.0,8.078364261861314,13.551356900933563,13.73370065878856,13.347471636893273,15.09762354272206,13.469822990761214,11.411500729319119,13.010923168766539,11.056178638994561,9.293467722184047,9.661033880644203,9.614077303060355,10.075231238336201,10.989034589058516,7.808705951088976,11.39556157148054
AMR,PUR,14.282921768632002,11.817445154798632,16.015919197158137,15.446745740627433,15.998473590215749,16.488884909195857,16.32659701381653,3.406493712085197,6.40885976121202,8.078364261861314,0.0,17.07185800482224,17.159287261460637,16.79102679796284,18.98031622092092,16.467464291997885,6.078649677771062,9.23198096923813,6.283398416121308,3.394246428851019,3.6342675044182395,8.779531623307381,8.61680254653705,10.336205867716766,6.081977694220866,11.106788560615142
EAS,CDX,18.433564533614295,18.360449667727686,19.534464745877298,19.336272310069624,18.891672561546798,19.957333813722794,20.090920517571007,16.312945303812814,12.528962216394635,13.551356900933563,17.07185800482224,1.9073486328125e-6,3.7853594736059084,2.5220873842238407,4.985155193404225,2.038936846979914,20.939430917779443,22.378609976742155,21.035507272848616,18.056069948841703,18.937123863250434,16.238408809592528,15.488093052672369,17.306933453342936,16.12741384829509,17.2446185396526
EAS,CHB,18.571282662481536,18.386090228194472,19.701566944594664,19.48058889074006,19.127982256880603,20.029645300701652,20.03096704451431,16.58031328780204,12.605690535613931,13.73370065878856,17.159287261460637,3.7853594736059084,3.814697265625e-6,1.9618548294002112,3.7450267642356363,3.2699281180094544,21.150217327012758,22.861765245297235,21.316818558809413,18.152061552486877,19.039036709228842,15.544394201156802,14.736239065171201,16.515067532075285,15.853583101503945,16.39533790371637
EAS,CHS,18.431315375729795,18.217714340244477,19.580338985136965,19.3391138494092,18.995538222412,19.950007751391258,20.009696709422084,16.072053942832977,12.190100988336251,13.347471636893273,16.79102679796284,2.5220873842238407,1.9618548294002112,2.6973983046972182e-6,3.7471182209847864,2.446852882970854,20.698831365796337,22.277164409366033,20.84028150286504,17.7568969233061,18.67812303919429,15.621907267100868,14.862590515613881,16.70124891126065,15.676299512012417,16.580862319343137
EAS,JPT,19.739682976985943,19.809551042094583,20.696232312526835,20.456909805695187,20.255369391237473,21.12922554720507,21.159582126994486,18.0978483665911,14.155071039687359,15.097623542722063,18.98031622092092,4.985155193404225,3.7450267642356363,3.7471182209848473,3.162979879718208e-6,5.142321397397355,22.687556078390266,23.987885248294752,22.72168100165045,19.953559672079543,20.868794622095095,17.389994925098186,16.9198711814225,18.427311152313212,17.681642382082114,18.11101574775753
EAS,KHV,17.876482077351163,17.699937603470453,18.96103006582227,18.781138471027464,18.406429675596925,19.42688454492156,19.504287821447292,15.90746506108081,12.283080406176929,13.469822990761214,16.467464291997885,2.038936846979914,3.2699281180094544,2.446852882970761,5.142321397397355,9.5367431640625e-7,20.39201065518967,21.955374409531355,20.556326021007667,17.476862974714535,18.356073525483215,15.461868959207605,14.634026037853532,16.55433991683788,15.539704549665403,16.47536135555896
EUR,CEU,18.43226765935157,15.791947098575232,19.987849589465362,19.391718583664897,20.18451261575914,20.609193156248015,20.514155322429346,6.534117614208898,10.359823097402186,11.411500729319119,6.078649677771081,20.939430917779443,21.150217327012758,20.69883136579633,22.687556078390266,20.392010655189658,0.0,4.427020482907192,2.137850769829992,4.285577473567429,3.8121683963998514,13.125060097626832,13.167577709328294,14.692149072833102,10.518434552973156,15.330816335823886
EUR,FIN,19.67184884342193,17.200371615126574,21.071159819651115,20.442802348629453,21.358114719730352,21.843298070994276,21.78450856452141,8.887040823052017,12.51812869202687,13.010923168766539,9.23198096923813,22.378609976742155,22.861765245297235,22.27716440936604,23.987885248294752,21.955374409531355,4.427020482907218,0.0,3.9015519665359863,7.900600877614707,7.256314908107085,15.92965032470105,16.222223084586243,17.45445033104048,13.221684891305745,17.981644880222735
EUR,GBR,18.21317108781255,15.644758265128932,19.730785340748426,19.02060403096251,19.960941506938752,20.327454257812665,20.214710717492185,6.397526193131689,10.265266386086688,11.056178638994561,6.283398416121308,21.035507272848616,21.316818558809413,20.84028150286504,22.72168100165045,20.556326021007667,2.137850769829992,3.9015519665359863,2.2365645217053555e-6,5.1342692933519505,4.6647472941543215,13.126324114592885,13.351428092961193,14.654186414978907,10.306226340196435,15.26453978452427
EUR,IBS,16.467847566655475,13.926074600039936,18.12985593066095,17.581373276854354,18.122955672454086,18.6218881678406,18.534534834375723,4.109122499374208,7.523050863542525,9.293467722184047,3.3942464288509857,18.056069948841703,18.152061552486877,17.7568969233061,19.953559672079543,17.47686297471453,4.285577473567429,7.900600877614707,5.1342692933519505,0.0,2.3053064746734333,10.324394034622745,9.97812733905938,11.980441321501004,7.634864124810675,12.6237340691072
EUR,TSI,16.541063317870105,13.883884823590568,18.218717358490387,17.72008267190704,18.185120340303357,18.732928785546736,18.607146778262862,4.654175407844162,8.276485729785698,9.661033880644203,3.6342675044182395,18.937123863250434,19.039036709228842,18.67812303919429,20.868794622095095,18.356073525483215,3.8121683963998216,7.256314908107085,4.6647472941543215,2.305306474673384,8.259061849445711e-7,10.72321603398791,10.404677214531846,12.16038916271291,7.978027769092152,12.958568043247338
SAS,BEB,13.37455394934737,11.395815866074406,14.677187258309432,14.430506463524699,14.680893141987857,14.813630455500801,14.388092270064188,9.136618960010805,8.74691250522519,9.614077303060355,8.779531623307381,16.238408809592528,15.544394201156802,15.621907267100882,17.389994925098186,15.461868959207605,13.125060097626832,15.92965032470105,13.126324114592885,10.324394034622745,10.72321603398791,0.0,3.605725096304785,2.565475647402388,4.649432426532671,2.832505937093788
SAS,GIH,13.771365801092728,11.767316402812764,15.177879352565322,14.915594989619434,14.968610544818672,15.276687528817371,14.860282157269799,9.391417838681395,8.676613057873585,10.075231238336189,8.61680254653705,15.488093052672369,14.736239065171201,14.862590515613872,16.9198711814225,14.634026037853532,13.167577709328294,16.222223084586236,13.351428092961193,9.97812733905938,10.404677214531846,3.605725096304785,0.0,4.220448746299835,4.684157064417537,4.797264294738801
SAS,ITU,13.447867514632053,11.552620832966271,14.626126129158495,14.495067224401618,14.537910196163114,14.639904938522877,14.117148259531383,10.870703972255923,10.385610147380765,10.989034589058516,10.336205867716766,17.306933453342936,16.515067532075285,16.70124891126065,18.427311152313212,16.55433991683788,14.692149072833102,17.45445033104048,14.654186414978907,11.980441321500985,12.16038916271291,2.565475647402388,4.220448746299808,0.0,5.7837285373031335,2.1060640006378004
SAS,PJL,13.840908443010726,11.581943689593649,15.380010189530868,14.798273672002313,15.213237451259243,15.47912034324264,15.130901112904908,6.170447711260502,6.781936009208283,7.808705951088976,6.081977694220866,16.12741384829509,15.853583101503945,15.676299512012417,17.681642382082114,15.539704549665403,10.518434552973156,13.221684891305745,10.306226340196435,7.634864124810675,7.978027769092152,4.649432426532671,4.684157064417537,5.7837285373031335,4.573661349594802e-6,6.473536689443834
SAS,STU,13.605248766469607,11.91670808323353,14.665674544687562,14.546724223594023,14.698901408170872,14.70294872699823,14.170486431150653,11.38828438853633,10.768176302617372,11.39556157148055,11.106788560615142,17.2446185396526,16.39533790371637,16.580862319343137,18.111015747757538,16.475361355558945,15.330816335823886,17.981644880222735,15.26453978452427,12.6237340691072,12.958568043247347,2.832505937093788,4.797264294738825,2.1060640006378004,6.473536689443834,3.015782985847835e-6
